2018-11-19 17:02:55.755---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/menu/edit]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.MenuController.edit(com.stylefeng.guns.common.persistence.model.Menu,org.springframework.validation.BindingResult)
2018-11-19 17:02:55.756---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.NoticeController.index()
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/add]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.NoticeController.add(com.stylefeng.guns.common.persistence.model.Notice)
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/update]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.NoticeController.update(com.stylefeng.guns.common.persistence.model.Notice)
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/delete]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.NoticeController.delete(java.lang.Integer)
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.NoticeController.list(java.lang.String)
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/notice_update/{noticeId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.NoticeController.noticeUpdate(java.lang.Integer,org.springframework.ui.Model)
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/hello]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.NoticeController.hello()
2018-11-19 17:02:55.757---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/notice/notice_add]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.NoticeController.noticeAdd()
2018-11-19 17:02:55.758---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.RoleController.index()
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/add]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.RoleController.add(com.stylefeng.guns.common.persistence.model.Role,org.springframework.validation.BindingResult)
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/remove]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.RoleController.remove(java.lang.Integer)
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.RoleController.list(java.lang.String)
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/roleTreeListByUserId/{userId}]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.RoleController.roleTreeListByUserId(java.lang.Integer)
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/view/{roleId}]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.RoleController.view(java.lang.Integer)
2018-11-19 17:02:55.759---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/roleTreeList]}" onto public java.util.List<com.stylefeng.guns.common.node.ZTreeNode> com.stylefeng.guns.modular.system.controller.RoleController.roleTreeList()
2018-11-19 17:02:55.760---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/role_edit/{roleId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.RoleController.roleEdit(java.lang.Integer,org.springframework.ui.Model)
2018-11-19 17:02:55.760---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/setAuthority]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.RoleController.setAuthority(java.lang.Integer,java.lang.String)
2018-11-19 17:02:55.760---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/role_add]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.RoleController.roleAdd()
2018-11-19 17:02:55.760---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/role_assign/{roleId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.RoleController.roleAssign(java.lang.Integer,org.springframework.ui.Model)
2018-11-19 17:02:55.760---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/role/edit]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.RoleController.edit(com.stylefeng.guns.common.persistence.model.Role,org.springframework.validation.BindingResult)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.UserMgrController.index()
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/add]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.UserMgrController.add(com.stylefeng.guns.modular.system.transfer.UserDto,org.springframework.validation.BindingResult)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/delete]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.UserMgrController.delete(java.lang.Integer)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/list]}" onto public java.lang.Object com.stylefeng.guns.modular.system.controller.UserMgrController.list(java.lang.String,java.lang.String,java.lang.String)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/reset]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.UserMgrController.reset(java.lang.Integer)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/user_info]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.UserMgrController.userInfo(org.springframework.ui.Model)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/setRole]}" onto public com.stylefeng.guns.common.constant.tips.Tip com.stylefeng.guns.modular.system.controller.UserMgrController.setRole(java.lang.Integer,java.lang.String)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/view/{userId}]}" onto public com.stylefeng.guns.common.persistence.model.User com.stylefeng.guns.modular.system.controller.UserMgrController.view(java.lang.Integer)
2018-11-19 17:02:55.762---666--- [main] INFO  o.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/mgr/role_assign/{userId}]}" onto public java.lang.String com.stylefeng.guns.modular.system.controller.UserMgrController.roleAssign(java.lang.Integer,org.springframework.ui.Model)
